,,"<6208110000> Комбинации и нижние юбки женские или для девочек, из химических нитей"
,,"<6208190001> Комбинации и нижние юбки женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208190009> Комбинации и нижние юбки женские или для девочек, из прочих текстильных материалов"
,унисекс,"<6108110000> Комбинации и нижние юбки трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108190000> Комбинации и нижние юбки трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6208110000> Комбинации и нижние юбки женские или для девочек, из химических нитей"
,,"<6208190001> Комбинации и нижние юбки женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208190009> Комбинации и нижние юбки женские или для девочек, из прочих текстильных материалов"
,без указания пола,"<6108110000> Комбинации и нижние юбки трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108190000> Комбинации и нижние юбки трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6208110000> Комбинации и нижние юбки женские или для девочек, из химических нитей"
,,"<6208190001> Комбинации и нижние юбки женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208190009> Комбинации и нижние юбки женские или для девочек, из прочих текстильных материалов"
КОМБИНЕЗОН ДОМАШНИЙ,мужской,"<6207910000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207991000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из химических нитей"
,,"<6207999000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из прочих текстильных материалов"
,женский,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,унисекс,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,без указания пола,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
КОРСЕТ,женский,"<6212900000> Прочие корсеты, подтяжки, подвязки и аналогичные изделия и их части трикотажные машинного или ручного вязания или нетрикотажные"
,унисекс,"<6212900000> Прочие корсеты, подтяжки, подвязки и аналогичные изделия и их части трикотажные машинного или ручного вязания или нетрикотажные"
,без указания пола,"<6212900000> Прочие корсеты, подтяжки, подвязки и аналогичные изделия и их части трикотажные машинного или ручного вязания или нетрикотажные"
КОСТЮМ ДОМАШНИЙ,мужской,"<6107210000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6107220000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, мужские или для мальчиков, из химических нитей"
,,"<6107290000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, мужские или для мальчиков, из прочих текстильных материалов"
,,"<6207210000> Ночные сорочки и пижамы мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207220000> Ночные сорочки и пижамы мужские или для мальчиков, из химических нитей"
,,"<6207290000> Ночные сорочки и пижамы мужские или для мальчиков, из прочих текстильных материалов"
,женский,"<6108310000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108320000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108390000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6208210000> Ночные сорочки и пижамы женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208220000> Ночные сорочки и пижамы женские или для девочек, из химических нитей"
,,"<6208290000> Ночные сорочки и пижамы женские или для девочек, из прочих текстильных материалов"
,унисекс,"<6108310000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108320000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
